10	273
100	183
101	58
102	66
103	215
104	28
105	110
106	22
107	63
108	21
109	32
11	233
110	180
111	132
112	23
113	45
114	50
115	47
116	91
117	142
118	85
119	70
12	180
120	50
121	25
122	73
123	60
124	53
125	23
126	181
127	44
128	22
129	183
13	29
130	635
131	352
132	29
133	21
134	25
135	24
136	54
137	34
138	46
139	50
14	23
140	97
141	20
142	106
143	32
144	19
145	205
146	315
147	28
148	19
149	64
15	35
150	103
151	31
152	306
153	105
154	22
155	50
156	21
157	36
158	50
159	172
16	106
160	139
161	119
162	57
163	41
164	22
165	62
166	29
167	19
168	68
169	68
17	36
170	27
171	21
172	27
173	26
174	42
175	176
176	37
177	62
178	114
179	272
18	41
180	276
181	62
182	434
183	27
184	52
185	250
186	47
187	91
188	55
189	111
19	186
190	19
191	58
192	26
193	34
194	120
195	304
196	95
197	38
198	117
199	180
2	39
20	61
200	47
201	215
202	385
203	19
204	42
205	41
206	21
207	63
208	229
209	32
21	32
210	178
211	131
212	36
213	24
214	125
215	127
216	92
217	130
218	75
219	52
22	27
220	127
221	21
222	145
223	386
224	104
225	140
226	26
227	49
228	57
229	20
23	29
230	150
231	132
232	20
233	92
234	109
235	479
236	93
237	123
238	47
239	28
24	158
240	67
241	23
242	22
243	19
244	80
245	237
246	21
247	194
248	25
249	55
25	160
250	77
251	121
252	76
253	20
254	96
255	158
256	82
257	206
258	56
259	22
26	45
260	106
261	23
262	26
263	159
264	122
265	119
266	45
267	22
268	184
269	327
27	322
270	24
271	137
272	277
273	50
274	21
275	70
276	94
277	517
278	53
279	22
28	433
280	78
281	257
282	25
283	21
284	52
285	46
286	31
287	287
288	61
289	74
29	26
290	33
291	149
292	295
293	123
294	387
295	149
296	195
297	146
298	191
299	126
3	279
30	53
300	42
301	19
302	274
303	20
304	483
305	25
306	221
307	31
308	111
309	396
31	19
310	35
311	20
312	293
313	222
314	261
315	244
316	86
317	74
318	21
319	173
32	22
320	40
321	153
322	124
323	50
324	88
325	65
326	141
327	186
328	283
329	282
33	64
330	23
331	146
332	69
333	182
334	25
335	332
336	21
337	129
338	33
339	74
34	253
340	19
341	43
342	20
343	200
344	236
345	189
346	231
347	192
348	198
349	57
35	40
350	24
351	49
352	43
353	41
354	24
355	232
356	25
357	23
358	75
359	42
36	26
360	19
361	101
362	120
363	24
364	310
365	19
366	57
367	32
368	57
369	44
37	21
370	56
371	74
372	50
373	65
374	232
375	273
376	27
377	29
378	32
379	374
38	195
380	120
381	161
382	126
383	52
384	70
385	21
386	280
387	22
388	303
389	51
39	270
390	21
391	30
392	120
393	110
394	447
395	148
396	56
397	53
398	101
399	171
4	318
40	23
400	34
401	21
402	152
403	67
404	49
405	43
406	736
407	341
408	225
409	26
41	202
410	51
411	27
412	57
413	50
414	49
415	24
416	23
417	492
418	364
419	19
42	31
420	182
421	35
422	61
423	96
424	63
425	43
426	203
427	100
428	30
429	54
43	413
430	220
431	64
432	20
433	61
434	40
435	43
436	378
437	144
438	262
439	32
44	30
440	150
441	50
442	19
443	142
444	23
445	23
446	134
447	35
448	138
449	37
45	74
450	47
451	539
452	97
453	205
454	155
455	235
456	188
457	216
458	276
459	182
46	117
460	26
461	67
462	22
463	32
464	132
465	52
466	79
467	100
468	43
469	142
47	42
470	24
471	56
472	30
473	262
474	34
475	326
476	19
477	82
478	34
479	112
48	201
480	65
481	59
482	55
483	25
484	58
485	138
486	25
487	188
488	230
489	153
49	108
490	214
491	56
492	32
493	54
494	134
495	46
496	212
497	128
498	278
499	148
5	101
50	174
500	23
501	224
502	72
503	36
504	159
505	250
506	111
507	241
508	57
509	86
51	32
510	22
511	29
512	23
513	20
514	21
515	193
516	39
517	20
518	36
519	72
52	48
520	55
521	22
522	149
523	29
524	99
525	305
526	53
527	67
528	136
529	52
53	42
530	27
531	44
532	29
533	273
534	259
535	79
536	217
537	162
538	489
539	80
54	55
540	64
541	62
542	132
543	134
544	196
545	30
546	161
547	58
548	22
549	154
55	24
550	20
551	39
552	333
553	83
554	99
555	113
556	51
557	43
558	52
559	19
56	75
560	186
561	100
562	356
563	71
564	29
565	33
566	34
567	148
568	154
569	80
57	69
570	105
571	21
572	19
573	19
574	50
575	45
576	25
577	35
578	187
579	23
58	73
580	153
581	46
582	27
583	61
584	26
585	23
586	79
587	165
588	97
589	224
59	42
590	381
591	47
592	83
593	359
594	155
595	24
596	95
597	19
598	40
599	24
6	46
60	210
600	207
601	88
602	147
603	28
604	46
605	26
606	89
607	235
608	36
609	162
61	27
610	20
611	74
612	41
613	26
614	27
615	38
616	102
617	42
618	107
619	215
62	88
620	231
621	109
622	170
623	227
624	44
625	140
626	105
627	31
628	180
629	26
63	120
630	92
631	107
632	19
633	117
634	57
635	134
636	33
637	19
638	103
639	66
64	147
640	199
641	108
642	39
643	317
644	205
645	41
646	121
647	37
648	57
649	296
65	23
650	79
651	310
652	20
653	21
654	282
655	146
656	684
657	23
658	28
659	70
66	190
660	37
661	223
662	120
663	22
664	157
665	165
666	141
667	244
668	46
669	45
67	99
670	29
671	45
672	123
673	28
674	34
675	40
676	33
677	76
678	48
679	27
68	61
680	33
681	37
682	21
683	398
684	74
685	85
686	19
687	70
688	20
689	23
69	35
690	64
691	114
692	31
693	39
694	153
695	156
696	37
697	28
698	104
699	126
7	148
70	402
700	130
701	20
702	32
703	30
704	46
705	89
706	113
707	28
708	235
709	104
71	137
710	37
711	85
712	220
713	161
714	29
715	43
716	166
717	268
718	92
719	38
72	66
720	136
721	29
722	167
723	41
724	21
725	84
726	24
727	23
728	321
729	25
73	20
730	65
731	37
732	82
733	19
734	106
735	63
736	52
737	23
738	32
739	147
74	34
740	38
741	19
742	103
743	25
744	34
745	26
746	59
747	66
748	292
749	107
75	304
750	78
751	32
752	167
753	72
754	56
755	33
756	37
757	108
758	165
759	356
76	31
760	81
761	40
762	65
763	20
764	128
765	108
766	22
767	174
768	36
769	63
77	28
770	71
771	63
772	69
773	32
774	160
775	223
776	27
777	104
778	35
779	64
78	36
780	20
781	54
782	41
783	231
784	29
785	38
786	26
787	116
788	56
789	248
79	32
790	54
791	230
792	24
793	46
794	54
795	38
796	158
797	357
798	25
799	238
8	23
80	58
800	28
801	27
802	25
803	74
804	32
805	331
806	272
807	139
808	203
809	22
81	19
810	57
811	25
812	20
813	19
